Year,Life Expectancy (index),Fertility Rate (index)
1960,100.0,100.0
1961,101.03842159916925,101.089588377724
1962,100.65680166147455,100.429231785164
1963,101.32917964693667,101.72243011226062
1964,101.94704049844236,102.41030156284394
1965,101.96521287642784,99.68633061853399
1966,102.03790238836967,97.8978648470174
1967,102.12876427829698,95.06933744221882
1968,102.2596053997923,92.49807395993838
1969,101.89615784008308,91.27022342064716
1970,102.46798200069227,89.43623674431252
1971,102.57049285086669,89.90326998801575
1972,103.10727693905261,87.39941790789248
1973,103.11845994088984,85.10957027906183
1974,103.69678089304257,86.0511898647492
1975,103.87815853236413,84.96877787689563
1976,104.07199723087572,83.38739761576515
1977,104.50934579439253,81.43297380585517
1978,104.44574247144341,79.46841294298922
1979,104.83644859813084,78.2742681047766
1980,104.79262109828356,76.32896764252698
1981,105.177447926211,74.13328197226504
1982,105.56227475413841,73.8682221733069
1983,105.4938610958402,72.16230097586032
1984,105.76751572903302,71.6486902927581
1985,106.47559709241952,70.51057571088387
1986,107.0681896850121,70.37050007003782
1987,107.32433367947385,69.53004622496148
1988,107.63586015922463,70.03782042302844
1989,107.71893388715819,68.77713965541393
1990,107.64655904842819,68.9522342064715
1991,107.58708581138485,67.3946539827159
1992,107.7919380723119,66.27252629463389
1993,107.99765226421056,63.50907751055136
1994,108.35793941035712,61.19782943659142
1995,108.75562478366217,58.618610571447725
1996,109.25839390792662,58.116165337978174
1997,109.64001384562133,57.010785824345156
1998,110.07518172377986,56.609527478171564
1999,110.48224299065419,56.43297380585517
2000,110.95908618899273,56.71447196870927
2001,111.26527677929548,55.32728414084348
2002,111.0857274720203,55.31301717742396
2003,111.22033767932002,55.840894823945675
2004,111.99030806507442,56.639844775438
2005,112.09799623091419,57.25332420247676
2006,112.7064343679089,58.423215202876236
2007,112.92719510788048,59.20789819094905
2008,113.54101765316717,61.37647663071394
2009,114.00407676627822,61.3194087770359
2010,114.47790469597321,61.13393825258233
2011,114.96250144225219,59.47897049591965
2012,114.95566738557392,59.50750442275867
2013,115.63016807045882,58.50881698339325
2014,116.05553632552595,59.407635678822125
2015,115.84015999384638,59.578839239856194
2016,116.33552555670936,60.477657935285066
2017,116.35706318987731,60.02111510586088
2018,116.55090188838888,59.59310620327572
2019,116.992423368332,58.99389373965646
2020,115.87785085189029,58.25201164184215
2021,115.10249605784391,59.39336871540263
2022,116.1686088996577,56.04063231181876
2023,117.37471635706318,53.65804942076129
2024,117.59009268874274,51.83187810306455
