geo,age,year,population,population_M,age_label,age_order
EU27_2020,Y_LT5,2001,22107432.0,22.107432,0-4,0
EU27_2020,Y5-9,2001,23602387.0,23.602387,5-9,1
EU27_2020,Y10-14,2001,26223520.0,26.22352,10-14,2
EU27_2020,Y15-19,2001,27485083.0,27.485083,15-19,3
EU27_2020,Y20-24,2001,29377961.0,29.377961,20-24,4
EU27_2020,Y25-29,2001,30880557.0,30.880557,25-29,5
EU27_2020,Y30-34,2001,32715552.0,32.715552,30-34,6
EU27_2020,Y35-39,2001,32747875.0,32.747875,35-39,7
EU27_2020,Y40-44,2001,31618558.0,31.618558,40-44,8
EU27_2020,Y45-49,2001,29975777.0,29.975777,45-49,9
EU27_2020,Y50-54,2001,28367883.0,28.367883,50-54,10
EU27_2020,Y55-59,2001,23015564.0,23.015564,55-59,11
EU27_2020,Y60-64,2001,23256024.0,23.256024,60-64,12
EU27_2020,Y65-69,2001,20738605.0,20.738605,65-69,13
EU27_2020,Y70-74,2001,18293601.0,18.293601,70-74,14
EU27_2020,Y75-79,2001,14340098.0,14.340098,75-79,15
EU27_2020,Y80-84,2001,7335421.0,7.335421,80-84,16
EU27_2020,Y_LT5,2023,20376638.0,20.376638,0-4,0
EU27_2020,Y5-9,2023,22368579.0,22.368579,5-9,1
EU27_2020,Y10-14,2023,23687811.0,23.687811,10-14,2
EU27_2020,Y15-19,2023,23470956.0,23.470956,15-19,3
EU27_2020,Y20-24,2023,23881146.0,23.881146,20-24,4
EU27_2020,Y25-29,2023,25125533.0,25.125533,25-29,5
EU27_2020,Y30-34,2023,28032579.0,28.032579,30-34,6
EU27_2020,Y35-39,2023,29169289.0,29.169289,35-39,7
EU27_2020,Y40-44,2023,30682229.0,30.682229,40-44,8
EU27_2020,Y45-49,2023,31358798.0,31.358798,45-49,9
EU27_2020,Y50-54,2023,32218543.0,32.218543,50-54,10
EU27_2020,Y55-59,2023,32064605.0,32.064605,55-59,11
EU27_2020,Y60-64,2023,29751412.0,29.751412,60-64,12
EU27_2020,Y65-69,2023,26904579.0,26.904579,65-69,13
EU27_2020,Y70-74,2023,23689644.0,23.689644,70-74,14
EU27_2020,Y75-79,2023,17916741.0,17.916741,75-79,15
EU27_2020,Y80-84,2023,13680779.0,13.680779,80-84,16
