year,fertility_rate
1960,2.5959999999999996
1961,2.6242857142857146
1962,2.607142857142857
1963,2.6407142857142856
1964,2.6585714285714284
1965,2.5878571428571426
1966,2.5414285714285714
1967,2.4680000000000004
1968,2.40125
1969,2.3693750000000002
1970,2.321764705882353
1971,2.3338888888888887
1972,2.2688888888888887
1973,2.2094444444444448
1974,2.233888888888889
1975,2.2057894736842103
1976,2.1647368421052633
1977,2.114
1978,2.0629999999999997
1979,2.032
1980,1.9815
1981,1.9245
1982,1.9176190476190473
1983,1.8733333333333335
1984,1.86
1985,1.8304545454545453
1986,1.8268181818181817
1987,1.805
1988,1.8181818181818181
1989,1.7854545454545454
1990,1.79
1991,1.7495652173913043
1992,1.7204347826086956
1993,1.6486956521739131
1994,1.588695652173913
1995,1.5217391304347827
1996,1.5086956521739132
1997,1.48
1998,1.4695833333333335
1999,1.4649999999999999
2000,1.4723076923076923
2001,1.4362962962962964
2002,1.4359259259259258
2003,1.4496296296296296
2004,1.4703703703703705
2005,1.4862962962962964
2006,1.5166666666666668
2007,1.537037037037037
2008,1.5933333333333335
2009,1.5918518518518516
2010,1.587037037037037
2011,1.544074074074074
2012,1.5448148148148149
2013,1.5188888888888887
2014,1.5422222222222222
2015,1.5466666666666666
2016,1.57
2017,1.558148148148148
2018,1.5470370370370372
2019,1.5314814814814814
2020,1.5122222222222221
2021,1.541851851851852
2022,1.4548148148148148
2023,1.392962962962963
2024,1.3455555555555554
