year,life_expectancy
1960,68.78571428571429
1961,69.5
1962,69.2375
1963,69.7
1964,70.125
1965,70.1375
1966,70.1875
1967,70.25
1968,70.34
1969,70.09
1970,70.48333333333333
1971,70.55384615384615
1972,70.92307692307692
1973,70.93076923076923
1974,71.32857142857144
1975,71.45333333333333
1976,71.58666666666666
1977,71.8875
1978,71.84375
1979,72.1125
1980,72.08235294117648
1981,72.34705882352942
1982,72.61176470588236
1983,72.56470588235294
1984,72.75294117647059
1985,73.24
1986,73.64761904761905
1987,73.82380952380952
1988,74.03809523809524
1989,74.0952380952381
1990,74.04545454545455
1991,74.00454545454545
1992,74.14545454545454
1993,74.28695652173913
1994,74.53478260869565
1995,74.80833333333334
1996,75.15416666666667
1997,75.41666666666667
1998,75.71600000000001
1999,75.996
2000,76.324
2001,76.53461538461539
2002,76.41111111111111
2003,76.5037037037037
2004,77.03333333333333
2005,77.10740740740741
2006,77.52592592592592
2007,77.67777777777779
2008,78.1
2009,78.41851851851852
2010,78.74444444444444
2011,79.07777777777777
2012,79.07307692307693
2013,79.53703703703704
2014,79.82962962962964
2015,79.68148148148148
2016,80.02222222222223
2017,80.03703703703704
2018,80.17037037037036
2019,80.47407407407408
2020,79.7074074074074
2021,79.17407407407407
2022,79.9074074074074
2023,80.73703703703704
2024,80.8851851851852
